ANG008,Angle Line 2x3/16,PACLINV0057242,,"30,732.76","26,896.48","3,836.28",12.48,,,,,,,,,,,,,,,,
ANG009,Angle Line 3/4x1/8,PACLINV0055658,,"38,642.24","30,172.75","8,469.49",21.92,,,,,,,,,,,,,,,,
ANG011,Angle Valve 1/2turn,PACLINV0056589,,"62,439.60","24,631.89","37,807.71",60.55,,,,,,,,,,,,,,,,
ANG012,Angle Valve 2way,PACLINV0057854,,"4,086.21","2,607.79","1,478.42",36.18,,,,,,,,,,,,,,,,
ANG014,Angle Valve 1/2turn lirlee,PACLINV0057822,,"10,275.86","5,896.46","4,379.40",42.62,,,,,,,,,,,,,,,,
AQU001,C/S/G Aqua Gloss Deep 4l,PACLINV0057746,,"5,258.62","4,598.28",660.34,12.56,,,,,,,,,,,,,,,,
ARA001,Lirlee Arabic Shower-LR9202,PACLINV0058656,,"19,857.77","15,695.66","4,162.11",20.96,,,,,,,,,,,,,,,,
ARA003,Araldite Glue,PACLINV0060720,,"6,655.18","2,565.69","4,089.49",61.45,,,,,,,,,,,,,,,,
ART001,Artist Brush Pkts,PACLINV0049043,,607.76,365.46,242.30,39.87,,,,,,,,,,,,,,,,
ASI002,Asian Toilet,PACLCRN0002571,,"1,551.73","1,250.11",301.62,19.44,,,,,,,,,,,,,,,,
AXE001,Axe 2.5LB,PACLINV0058319,,"1,594.83","1,189.65",405.18,25.41,,,,,,,,,,,,,,,,
AXE003,Axe 3.5LB,PACLINV0060500,,"5,603.47","4,267.26","1,336.21",23.85,,,,,,,,,,,,,,,,
AXE004,Axe 3LB,PACLINV0057214,,"6,818.95","5,379.36","1,439.59",21.11,,,,,,,,,,,,,,,,
BAL004,Ball Cork 1,PACLINV0042869,,"3,206.90","2,266.00",940.90,29.34,,,,,,,,,,,,,,,,
BAL005,Ball Cork 1/2,PACLINV0059656,,801.72,448.28,353.44,44.09,,,,,,,,,,,,,,,,
BAL010,Ball Fitting Bulb,PACLINV0042431,,"1,594.83","1,106.08",488.75,30.65,,,,,,,,,,,,,,,,
BAL011,Ball Valve 1 Pegler,PACLINV0058995,,"16,896.57","13,594.19","3,302.38",19.54,,,,,,,,,,,,,,,,
BAL012,Ball Valve 1/2 Pegler,PACLINV0056613,,"6,288.76","4,879.04","1,409.72",22.42,,,,,,,,,,,,,,,,
BAL014,Ball Valve 3/4  Pegler,PACLINV0057965,,"38,638.02","31,942.39","6,695.63",17.33,,,,,,,,,,,,,,,,
BAL015,Ballast Dust Tonnes,PACLINV0032255,,"7,758.62","7,758.60",0.02,0.00,,,,,,,,,,,,,,,,
BAL016,Ballast Dust Truck,PACLINV0031523,,"50,862.07","46,982.76","3,879.31",7.63,,,,,,,,,,,,,,,,
BAL022,Ballast Truck,PACLINV0034161,,"25,862.07","23,275.86","2,586.21",10.00,,,,,,,,,,,,,,,,
BAL024,Ball Valve 11/4 pegler,PACLINV0054294,,"13,224.14","12,155.16","1,068.98",8.08,,,,,,,,,,,,,,,,
BAL025,Ball Cork 3/4,PACLINV0058897,,"9,185.36","6,558.89","2,626.47",28.59,,,,,,,,,,,,,,,,
BAL026,Ball Valve 3/4-Lirlee,PACLINV0030137,,775.86,676.05,99.81,12.86,,,,,,,,,,,,,,,,
BAM001,Bamburi Fundi,PACLINV0053359,,"26,206.90","25,172.40","1,034.50",3.95,,,,,,,,,,,,,,,,
BAM002,Bamburi Nguvu,PACLINV0056856,,"1,045,107.72","976,638.95","68,468.77",6.55,,,,,,,,,,,,,,,,
BAM004,Bamburi Powermax,PACLINV0055437,,"353,232.75","315,344.60","37,888.15",10.73,,,,,,,,,,,,,,,,
BAM005,Bamburi Tembo,PACLINV0060463,,"15,629,517.26","14,655,284.13","974,233.13",6.23,,,,,,,,,,,,,,,,
Inventory Sales Analysis,,,,,,,,,,,Page 2 of 36,,,,,,,,,,,,
,,,Amount (VAT,,,Amount (VAT,,,,,,,,,,,,,,,,,
Item Code,Item Description,Reference,,,Quantity,Cost,,,Profit,Profit %,Markup %,,,,,,,,,,,,
Linked Account:,,,,,,0,,,,,,,,,,,,,,,,,
BAR001,Barbed Wire 480m,PACLINV0052291,,,"20,258.62","16,229.89",,,"4,028.73",19.89,,,,,,,,,,,,,
BAR002,Barbed Wire 610m,PACLINV0042890,,,"31,728.45","27,033.70",,,"4,694.75",14.80,,,,,,,,,,,,,
BAR003,Barbed Wire 610m-Tej,PACLINV0039439,,,"67,758.62","64,482.70",,,"3,275.92",4.83,,,,,,,,,,,,,
BAS003,Basco Primer Grey 1l,PACLINV0051598,,,"5,862.08","4,103.46",,,"1,758.62",30.00,,,,,,,,,,,,,
BAS004,Basco Primer Grey 4l,PACLINV0059863,,,"16,034.47","12,364.56",,,"3,669.91",22.89,,,,,,,,,,,,,
BAS007,Basco Sanding Sealer 1l,PACLINV0038040,,,689.66,514.66,,,175.00,25.37,,,,,,,,,,,,,
BAS009,Basco Silver Almn 1l,PACLINV0057227,,,"3,405.17","2,068.98",,,"1,336.19",39.24,,,,,,,,,,,,,
BAS011,Base Aquagloss 1 4l,PACLINV0052694,,,"9,224.14","8,953.44",,,270.70,2.93,,,,,,,,,,,,,
BAS017,Base Sg Red 1l,PACLINV0053525,,,"2,068.97","1,234.48",,,834.49,40.33,,,,,,,,,,,,,
BAS018,Base Sg Red 4l,PACLINV0031154,,,"2,931.03","2,344.83",,,586.20,20.00,,,,,,,,,,,,,
BAS019,Base Sg1 1l,PACLINV0060307,,,"11,974.14","9,047.18",,,"2,926.96",24.44,,,,,,,,,,,,,
BAS020,Base Sg1 4l,PACLCRN0002869,,,"28,232.75","24,656.15",,,"3,576.60",12.67,,,,,,,,,,,,,
BAS021,Base Sg2 1l,PACLINV0060295,,,"4,310.35","2,797.65",,,"1,512.70",35.09,,,,,,,,,,,,,
BAS022,Base Sg2 4l,PACLINV0046061,,,"20,517.24","17,063.76",,,"3,453.48",16.83,,,,,,,,,,,,,
BAS023,Base Sg3 1l,PACLINV0050685,,,"1,724.14","1,027.68",,,696.46,40.39,,,,,,,,,,,,,
BAS024,Base Sg3 4l,PACLINV0051286,,,"5,344.83","3,738.92",,,"1,605.91",30.05,,,,,,,,,,,,,
BAS025,Base Sg4 1l,PACLINV0058781,,,"4,310.35","2,196.75",,,"2,113.60",49.04,,,,,,,,,,,,,
BAS026,Base Sg4 4l,PACLINV0042913,,,"7,758.62","4,992.33",,,"2,766.29",35.65,,,,,,,,,,,,,
BAS027,Base Sg5 1l,PACLINV0052826,,,"8,922.42","4,052.80",,,"4,869.62",54.58,,,,,,,,,,,,,
BAS028,Base Sg5 4l,PACLINV0061062,,,"16,465.52","9,610.28",,,"6,855.24",41.63,,,,,,,,,,,,,
BAS029,Base Sg6 1l,PACLINV0050484,,,862.07,419.23,,,442.84,51.37,,,,,,,,,,,,,
BAS030,Base Sg6 4l,PACLINV0053124,,,"12,413.79","7,625.85",,,"4,787.94",38.57,,,,,,,,,,,,,
BAS031,Base Sgylw 1l,PACLINV0038567,,,"2,672.41","1,502.55",,,"1,169.86",43.78,,,,,,,,,,,,,
BAS032,Base Sgylw 4l,PACLINV0059405,,,"13,706.90","9,756.00",,,"3,950.90",28.82,,,,,,,,,,,,,
BAS033,Base Silicon 1 Ext 4l,PACLINV0052879,,,"15,517.25","13,547.50",,,"1,969.75",12.69,,,,,,,,,,,,,
BAS034,Base Silicon 2 Ext 4l,PACLINV0051873,,,"7,758.62","6,604.41",,,"1,154.21",14.88,,,,,,,,,,,,,
BAS035,Base Silicon Ext 1 1l,PACLINV0058098,,,"2,500.00","1,764.18",,,735.82,29.43,,,,,,,,,,,,,
BAS036,Base Silicon Ext 2 1l,PACLINV0055758,,,862.07,571.29,,,290.78,33.73,,,,,,,,,,,,,
BAS037,Base Silicon Ext 3 1l,PACLINV0044956,,,"1,724.14","1,117.24",,,606.90,35.20,,,,,,,,,,,,,
BAS039,Base Vm Yox 1l,PACLINV0060269,,,775.86,355.17,,,420.69,54.22,,,,,,,,,,,,,
BAS041,Base Vm1 1l,PACLINV0060295,,,"37,491.39","26,785.42",,,"10,705.97",28.56,,,,,,,,,,,,,
BAS042,Base Vm1 20l,PACLINV0030465,,,"18,965.52","17,904.68",,,"1,060.84",5.59,,,,,,,,,,,,,
BAS043,Base Vm1 4l,PACLINV0042168,,,"27,467.27","21,337.32",,,"6,129.95",22.32,,,,,,,,,,,,,
BAS044,Base Vm2 1l,PACLINV0058899,,,"6,637.93","4,162.50",,,"2,475.43",37.29,,,,,,,,,,,,,
BAS046,Base Vm2 4l,PACLINV0046061,,,"4,827.58","3,528.00",,,"1,299.58",26.92,,,,,,,,,,,,,
BAS047,Base Vm3 1l,PACLINV0056821,,,"1,465.52",751.08,,,714.44,48.75,,,,,,,,,,,,,
BAS048,Base Vm3 4l,PACLINV0048902,,,"4,655.17","3,881.04",,,774.13,16.63,,,,,,,,,,,,,
BAS049,Base Vm4 1l,PACLINV0058781,,,"6,939.66","2,860.11",,,"4,079.55",58.79,,,,,,,,,,,,,
BAS050,Base Vm4 4l,PACLINV0045587,,,"2,413.79","1,134.48",,,"1,279.31",53.00,,,,,,,,,,,,,
BAS051,Base Vm5 1l,PACLINV0054158,,,"2,456.90","1,078.08",,,"1,378.82",56.12,,,,,,,,,,,,,
BAS053,Base Vmylw 1l,PACLINV0030280,,,862.07,406.39,,,455.68,52.86,,,,,,,,,,,,,
BAS055,Base Vs1 1l,PACLINV0047493,,,"8,103.45","5,698.24",,,"2,405.21",29.68,,,,,,,,,,,,,
BAS056,Base Vs1 20l,PACLINV0052256,,,"134,310.34","117,213.69",,,"17,096.65",12.73,,,,,,,,,,,,,
BAS057,Base Vs1 4l,PACLINV0061125,,,"143,103.45","118,085.06",,,"25,018.39",17.48,,,,,,,,,,,,,
BAS058,Base Vs2 1l,PACLINV0053621,,,"3,189.65","1,975.68",,,"1,213.97",38.06,,,,,,,,,,,,,
BAS059,Base Vs2 20l,PACLINV0052256,,,"11,206.90","9,643.52",,,"1,563.38",13.95,,,,,,,,,,,,,
BAS060,Base Vs2 4l,PACLINV0043052,,,"9,482.76","7,422.16",,,"2,060.60",21.73,,,,,,,,,,,,,
BAS061,Base Vs3 4l,PACLINV0053540,,,"12,327.58","9,583.00",,,"2,744.58",22.26,,,,,,,,,,,,,
BAS064,Base Vs4 4l,PACLINV0047992,,,"2,500.00","1,429.49",,,"1,070.51",42.82,,,,,,,,,,,,,
BAS065,Base Vs5 1l,PACLINV0042595,,,775.86,462.93,,,312.93,40.33,,,,,,,,,,,,,
Inventory Sales Analysis,,,,,,,,,,,,,,Page 3 of 36,,,,,,,,,
,,,Amount (VAT,,,Amount (VAT,,,,,,,,,,,,,,,,,
Item Code,Item Description,Reference,,,Quantity,Cost,,,Profit,Profit %,,,,Markup %,,,,,,,,,
Linked Account:,,,,,,0,,,,,,,,,,,,,,,,,
BAS067,Basin & Pedestal,PACLINV0059137,,,"25,431.03","18,758.96",,,"6,672.07",26.24,,,,,,,,,,,,,
BAS069,Basin Mixer Sprout,PACLINV0033334,,,"1,724.14","1,379.31",,,344.83,20.00,,,,,,,,,,,,,
BAS070,Basin Screw Small,PACLINV0052552,,,"1,870.69",735.96,,,"1,134.73",60.66,,,,,,,,,,,,,
BAS073,Base Silicon Ext 3 4 Ll,PACLINV0031337,,,"15,603.45","12,489.12",,,"3,114.33",19.96,,,,,,,,,,,,,
BAS076,Base VSYLW 4l,PACLINV0051434,,,"2,758.62","2,077.68",,,680.94,24.68,,,,,,,,,,,,,
BAS077,Basin Screw Big,PACLINV0057502,,,"2,827.58","1,146.46",,,"1,681.12",59.45,,,,,,,,,,,,,
BAS078,Base Silicon Ext3 -20 L,PACLCRN0002892,,,"37,500.00","31,612.49",,,"5,887.51",15.70,,,,,,,,,,,,,
BED003,Bed Bolts 5,PACLINV0057813,,,655.18,248.32,,,406.86,62.10,,,,,,,,,,,,,
BED004,Bed Bolts 6,PACLINV0045194,,,620.69,256.62,,,364.07,58.66,,,,,,,,,,,,,
BIN001,Binding Wire 1kg,PACLINV0060443,,,"87,758.68","60,948.45",,,"26,810.23",30.55,,,,,,,,,,,,,
BIN002,Binding Wire 17kg,PACLINV0034970,,,"317,500.04","265,378.00",,,"52,122.04",16.42,,,,,,,,,,,,,
BIN003,Binding Wire 23kg,PACLINV0041681,,,"188,749.98","160,732.32",,,"28,017.66",14.84,,,,,,,,,,,,,
BIN005,Binding Wire 15KG,PACLINV0058230,,,"2,922,242.28","2,581,220.45",,,"341,021.83",11.67,,,,,,,,,,,,,
BLA001,Black Oxide,PACLINV0045496,,,"5,129.30","2,389.07",,,"2,740.23",53.42,,,,,,,,,,,,,
BLA002,Black Pipe 1,PACLINV0058334,,,"3,211.20","2,720.50",,,490.70,15.28,,,,,,,,,,,,,
BLA003,Black Pipe 11/2,PACLINV0051677,,,"13,879.31","11,913.78",,,"1,965.53",14.16,,,,,,,,,,,,,
BLA004,Black Pipe 11/4,PACLINV0060440,,,"7,715.52","6,732.75",,,982.77,12.74,,,,,,,,,,,,,
BLA005,Black Pipe 2,PACLINV0030813,,,"9,482.76","8,630.04",,,852.72,8.99,,,,,,,,,,,,,
BLA007,Black Pipe 3/4,PACLINV0059529,,,"3,297.42","2,647.01",,,650.41,19.72,,,,,,,,,,,,,
BLA008,Black Pipe 4,PACLINV0038694,,,"44,784.48","39,085.41",,,"5,699.07",12.73,,,,,,,,,,,,,
BLA010,Black Sheet 8x4x1.35mm,PACLINV0056755,,,"156,392.25","136,618.76",,,"19,773.49",12.64,,,,,,,,,,,,,
BLA011,Black Sheet 8x4x0.8mm,PACLINV0060934,,,"89,810.37","73,605.21",,,"16,205.16",18.04,,,,,,,,,,,,,
BLA016,Blanking Cover Double,PACLINV0060456,,,872.41,574.36,,,298.05,34.16,,,,,,,,,,,,,
BLA017,Blanking Cover Single,PACLINV0059559,,,"1,192.23",543.06,,,649.17,54.45,,,,,,,,,,,,,
BLA018,Black Pipe 1/2,PACLINV0042481,,,"13,793.10","8,935.20",,,"4,857.90",35.22,,,,,,,,,,,,,
BLO001,Blockboard 1,PACLINV0048080,,,"9,956.90","8,922.42",,,"1,034.48",10.39,,,,,,,,,,,,,
BLO002,Blockboard 3/4,PACLINV0042073,,,"156,387.93","137,284.65",,,"19,103.28",12.22,,,,,,,,,,,,,
BOD007,Bodyfiller 1/2kg,PACLINV0057430,,,"7,896.53","5,433.44",,,"2,463.09",31.19,,,,,,,,,,,,,
BOD008,Bodyfiller 1kg,PACLINV0060016,,,"10,215.52","7,156.31",,,"3,059.21",29.95,,,,,,,,,,,,,
BOD009,Body filler 2.5kg,PACLINV0060657,,,"25,043.09","17,127.69",,,"7,915.40",31.61,,,,,,,,,,,,,
BOD010,Bodyfiller 4.5kg neo,PACLINV0058469,,,"46,586.18","35,873.18",,,"10,713.00",23.00,,,,,,,,,,,,,
BOL004,Bolt & Nut 10x3,PACLINV0045218,,,267.25,155.16,,,112.09,41.94,,,,,,,,,,,,,
BOL012,Bolt & Nut No 22,PACLINV0055730,,,"1,124.99",879.24,,,245.75,21.84,,,,,,,,,,,,,
BOS001,Boss White 200g,PACLINV0056064,,,"3,327.60","1,528.00",,,"1,799.60",54.08,,,,,,,,,,,,,
BOS002,Boss White 400g,PACLINV0059763,,,"3,659.48","1,897.16",,,"1,762.32",48.16,,,,,,,,,,,,,
BOS003,Bosch cutting Slim 4-2608619383,PACLINV0046507,,,"2,064.66","1,595.10",,,469.56,22.74,,,,,,,,,,,,,
BOS004,Bosch Grinding 7,PACLINV0045446,,,"3,762.92","2,646.00",,,"1,116.92",29.68,,,,,,,,,,,,,
BOS005,Bosch Grinding 4,PACLINV0055741,,,"2,049.15","1,395.00",,,654.15,31.92,,,,,,,,,,,,,
BOS006,Bosch Grinding 9,PACLCRN0002381,,,"2,965.52","2,400.00",,,565.52,19.07,,,,,,,,,,,,,
BOS007,Bosch Cutting Slim 9,PACLINV0052541,,,"6,573.26","5,324.00",,,"1,249.26",19.01,,,,,,,,,,,,,
BOS008,Bosch Circular Saw Blade7 40T,PACLINV0057800,,,"4,797.41","4,107.00",,,690.41,14.39,,,,,,,,,,,,,
BOS009,Bosch Circular Saw Blade 7 60T,PACLINV0058895,,,"4,827.58","4,404.00",,,423.58,8.77,,,,,,,,,,,,,
BOS010,Bosch Circular Saw Blade 9 40T,PACLINV0048314,,,"4,224.14","3,522.00",,,702.14,16.62,,,,,,,,,,,,,
BOS011,Bosch Circular Saw Blade 9 60T,PACLINV0044570,,,"4,482.76","4,304.00",,,178.76,3.99,,,,,,,,,,,,,
BOS012,Bosch Circular Saw Blade 10 60T,PACLINV0054548,,,"1,206.90","2,348.00",,,"-1,141.10",-94.55,,,,,,,,,,,,,
BOS013,Bosch Flap Disc 4 P60,PACLINV0029213,,,215.52,157.00,,,58.52,27.15,,,,,,,,,,,,,
BOS016,Bosch Cutting Diamond 4-2608615027,PACLINV0046413,,,"5,702.60","5,020.00",,,682.60,11.97,,,,,,,,,,,,,
BOS017,Bosch Cutting Diamond 9,PACLINV0050197,,,"3,189.66","2,726.00",,,463.66,14.54,,,,,,,,,,,,,
BOS018,Bosch  cutting Ceramic 4,PACLINV0057103,,,"9,706.90","7,000.00",,,"2,706.90",27.89,,,,,,,,,,,,,
BOS019,Bosch Hole saw Pkt,PACLINV0029151,,,"1,250.00","1,158.00",,,92.00,7.36,,,,,,,,,,,,,
Inventory Sales Analysis,,,,,,,,,,,,,,,,,Page 4 of 36,,,,,,
,,,Amount (VAT,,,Amount (VAT,,,,,,,,,,,,,,,,,
Item Code,Item Description,Reference,,,Quantity,Cost,,,Profit,Profit %,,,,Markup %,,,,,,,,,
Linked Account:,,,,,,0,,,,,,,,,,,,,,,,,
BOS020,Bosch Blade For Wood Set,PACLINV0057769,,,340.52,290.00,,,50.52,14.84,,,,,,,,,,,,,
BOS021,Bosch Saw Blade Set,PACLINV0029726,,,500.00,427.00,,,73.00,14.60,,,,,,,,,,,,,
BOS022,Bosch Drill Bit 3mm,PACLINV0048688,,,288.79,252.00,,,36.79,12.74,,,,,,,,,,,,,
BOS023,Bosch Drill Bit 4mm,PACLINV0051121,,,431.03,319.00,,,112.03,25.99,,,,,,,,,,,,,
BOS024,Bosch Drill Bit 5mm,PACLINV0030017,,,387.93,350.00,,,37.93,9.78,,,,,,,,,,,,,
BOS025,Bosch Drill Bit 6mm,PACLINV0030820,,,612.07,520.00,,,92.07,15.04,,,,,,,,,,,,,
BOS030,Bosch  Sand Paper P120,PACLINV0037739,,,"3,793.10","3,500.00",,,293.10,7.73,,,,,,,,,,,,,
BOS031,Bosch Router  Bit Set 464,PACLINV0034318,,,"3,965.52","3,390.00",,,575.52,14.51,,,,,,,,,,,,,
BOS032,Bosch  Hilt Bit 6mm,PACLINV0043878,,,823.28,540.00,,,283.28,34.41,,,,,,,,,,,,,
BOS033,Bosch  Hilt Bit 8mm,PACLINV0050321,,,491.38,394.00,,,97.38,19.82,,,,,,,,,,,,,
BOS034,Bosch  Hilt Bit 10mm,PACLINV0042018,,,366.38,278.00,,,88.38,24.12,,,,,,,,,,,,,
BOS035,Bosch  Accessory Set-260017503,PACLINV0050042,,,"5,202.60","4,890.04",,,312.56,6.01,,,,,,,,,,,,,
BOS036,Bosch  Cordless Impact Drill,PACLINV0044600,,,"25,495.69","24,200.00",,,"1,295.69",5.08,,,,,,,,,,,,,
BOS037,Bosch  Drill 400w,PACLINV0036166,,,"10,517.24","9,176.00",,,"1,341.24",12.75,,,,,,,,,,,,,
BOS038,Bosch Angle Grinder small-OLO-0601343,PACLINV0046413,,,"27,379.33","24,600.00",,,"2,779.33",10.15,,,,,,,,,,,,,
BOS039,Bosch  Angle Grinder Big -OPO,PACLINV0047707,,,"22,844.83","20,752.24",,,"2,092.59",9.16,,,,,,,,,,,,,
BOS041,Bosch Jigsaw,PACLINV0045070,,,"5,603.45","4,886.00",,,717.45,12.80,,,,,,,,,,,,,
BOS045,Bosch Heat Gun 180,PACLINV0043423,,,"4,525.86","4,100.00",,,425.86,9.41,,,,,,,,,,,,,
BOS046,Bosch Laser Tape Measure -WOO,PACLINV0039008,,,"4,741.38","3,796.00",,,945.38,19.94,,,,,,,,,,,,,
BOS047,Bosch Laser Tape Measure S00,PACLINV0048426,,,"37,500.00","33,792.00",,,"3,708.00",9.89,,,,,,,,,,,,,
BOS049,Bosch Laser Level 320,PACLINV0047582,,,"16,551.72","15,264.00",,,"1,287.72",7.78,,,,,,,,,,,,,
BOS050,Bosch  Screw Driver bit-2608521042,PACLINV0044600,,,"2,004.31","1,500.00",,,504.31,25.16,,,,,,,,,,,,,
BOS052,Bosch Cordless Screw Driver Go kit,PACLINV0047242,,,"4,568.97","3,700.00",,,868.97,19.02,,,,,,,,,,,,,
BOT001,Bottle Trap 11/2 malpine,PACLINV0031996,,,215.52,94.83,,,120.69,56.00,,,,,,,,,,,,,
BOT007,"Magic Connector Plastic 11/2""",PACLINV0057502,,,"6,396.55","2,579.80",,,"3,816.75",59.67,,,,,,,,,,,,,
BOT009,"Magic Connector Plastic 11/4""",PACLINV0052855,,,"1,250.01",450.96,,,799.05,63.92,,,,,,,,,,,,,
BOT010,Bottle Trap Viega 1 1/4,PACLINV0060315,,,"6,974.16","4,669.00",,,"2,305.16",33.05,,,,,,,,,,,,,
BOT011,Bottle Trap Viega 11/2,PACLINV0057872,,,"12,310.37","7,939.18",,,"4,371.19",35.51,,,,,,,,,,,,,
BOW001,Bow Saw,PACLINV0031694,,,344.83,245.69,,,99.14,28.75,,,,,,,,,,,,,
BRA001,Construction Net Mtrs,PACLINV0057630,,,"10,905.19","5,482.85",,,"5,422.34",49.72,,,,,,,,,,,,,
BRC001,Brc 610,PACLINV0037722,,,"6,896.55","5,603.45",,,"1,293.10",18.75,,,,,,,,,,,,,
BRC003,Brc A142 Std,PACLINV0058488,,,"2,977,112.05","2,652,872.88",,,"324,239.17",10.89,,,,,,,,,,,,,
BRC004,Brc A66,PACLINV0050825,,,"65,172.42","51,724.14",,,"13,448.28",20.63,,,,,,,,,,,,,
BRC005,Brc A98 Std,PACLINV0060064,,,"1,114,353.42","976,855.64",,,"137,497.78",12.34,,,,,,,,,,,,,
BRO001,Broom/Rake Handles,PACLINV0042646,,,"4,181.02","2,923.16",,,"1,257.86",30.09,,,,,,,,,,,,,
BRU001,Brush Fixtec 1,PACLINV0057749,,,"8,094.91","2,827.36",,,"5,267.55",65.07,,,,,,,,,,,,,
BRU002,Brush Fixtec 2,PACLINV0060533,,,"22,344.77","11,815.91",,,"10,528.86",47.12,,,,,,,,,,,,,
BRU003,Brush Fixtec 3,PACLINV0060508,,,"24,111.94","14,387.80",,,"9,724.14",40.33,,,,,,,,,,,,,
BRU004,Brush Fixtec 4,PACLINV0059436,,,"60,319.01","46,512.15",,,"13,806.86",22.89,,,,,,,,,,,,,
BRU005,Brush Fixtec 6,PACLINV0060338,,,"83,896.30","70,446.97",,,"13,449.33",16.03,,,,,,,,,,,,,
BRU007,Brush  Premium 2,PACLINV0057550,,,"18,004.29","7,819.76",,,"10,184.53",56.57,,,,,,,,,,,,,
BRU009,Brush Premium 3,PACLINV0060110,,,"15,448.22","5,896.65",,,"9,551.57",61.83,,,,,,,,,,,,,
BRU010,Brush  Premium 4,PACLINV0057445,,,"46,715.57","18,427.50",,,"28,288.07",60.55,,,,,,,,,,,,,
BRU011,Brush Premium 5,PACLINV0060249,,,"7,952.57","3,340.56",,,"4,612.01",57.99,,,,,,,,,,,,,
BRU012,Brush Premium 6,PACLINV0056595,,,"53,861.91","24,911.34",,,"28,950.57",53.75,,,,,,,,,,,,,
BRU013,Brush Fixtec 5,PACLINV0061271,,,"19,577.53","18,132.14",,,"1,445.39",7.38,,,,,,,,,,,,,
BRU014,"Brush Premium 2.5""",PACLINV0048383,,,689.65,240.00,,,449.65,65.20,,,,,,,,,,,,,
BUC001,Buckets,PACLINV0059760,,,"62,112.09","42,685.28",,,"19,426.81",31.28,,,,,,,,,,,,,
BUL001,Bulb Energy Saver Pin 7w,PACLINV0056846,,,"2,241.37","1,269.62",,,971.75,43.36,,,,,,,,,,,,,
BUL002,Bulb Energy Saver Pin 9w,PACLINV0057865,,,"3,698.26","1,989.40",,,"1,708.86",46.21,,,,,,,,,,,,,
Inventory Sales Analysis,,,,,,,,,,,,,,,,,,,,Page 5 of 36,,,
,,,Amount (VAT,,,Amount (VAT,,,,,,,,,,,,,,,,,
Item Code,Item Description,Reference,,,Quantity,Cost,,,Profit,Profit %,,,,Markup %,,,,,,,,,
Linked Account:,,,,,,0,,,,,,,,,,,,,,,,,
BUL003,Bulb Energy Saver Screw 7w,PACLINV0056353,,,"2,284.48","1,334.95",,,949.53,41.56,,,,,,,,,,,,,
BUL004,Bulb Eneryg Saver Screw 9w,PACLINV0059178,,,"4,215.51","2,497.25",,,"1,718.26",40.76,,,,,,,,,,,,,
BUL006,Bulb Filament 4w,PACLINV0034275,,,344.83,172.41,,,172.42,50.00,,,,,,,,,,,,,
BUL007,Bulb Holder Angle,PACLINV0045033,,,86.21,66.82,,,19.39,22.49,,,,,,,,,,,,,
